Actie;Actie omschrijving;Beleidsitem;Beleidsitem omschrijving;Ontvangst/uitgave;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Krediet 2016;Rekening 2015;Vorderingstaten 2016 tot nu;Nog te innen;Verschil 2016 - (2015);Verschil % 2016-2015;;Bijkomend BW 1-2016;Krediet na BW 1-2016;Opmerkingen;invloed MJP
GBB-CBS;Gelijkblijvend beleid CBS;0390-00;Overige milieubescherming;O;7470000;Werknemersinhouding maaltijdcheques;IE-GEEN; € 300,00 ; € 306,29 ; € 192,93 ; € 107,07 ;-113,36;-37,01 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0500-00;Handel en middenstand;O;7406999;Overige specifieke projectsubsidies;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0520-00;Toerisme - Onthaal en promotie;O;7000008;Verkoop van infobrochures;IE-GEEN; € 700,00 ; € 923,92 ; € 193,00 ; € 507,00 ;-730,92;-79,11 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0520-00;Toerisme - Onthaal en promotie;O;7470000;Werknemersinhouding maaltijdcheques;IE-GEEN; € 75,00 ; € 176,58 ; € 66,49 ; € 8,51 ;-110,09;-62,35 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0600-00;Ruimtelijke planning;O;7020004;Verstrekken van Stedenbouwkundige inlichtingen;IE-GEEN; € 19.000,00 ; € 100,00 ; € 3.050,00 ; € 15.950,00 ;2950;2950,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0600-00;Ruimtelijke planning;O;7406999;Overige specifieke projectsubsidies;IE-GEEN; € -   ; € 7.500,00 ; € -   ; € -   ;-7500;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0600-00;Ruimtelijke planning;O;7409999;Overige specifieke werkingssubsidies;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0600-00;Ruimtelijke planning;O;7470000;Werknemersinhouding maaltijdcheques;IE-GEEN; € 500,00 ; € 478,51 ; € 295,39 ; € 204,61 ;-183,12;-38,27 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0620-00;Grondbeleid voor wonen;O;7500000;Opbrengsten uit financiÃ«le vaste activa;IE-GEEN; € 500,00 ; € 500,00 ; € -   ; € 500,00 ;-500;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0621-00;Bestrijding van krotwoningen;O;7406999;Overige specifieke projectsubsidies;IE-GEEN; € 115,00 ; € 113,00 ; € -   ; € 115,00 ;-113;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0640-00;Elektriciteitsvoorziening;O;2810000;Belang. in intergem. samenwerk. en soortg. ent. - AW;IE6; € -   ; € 1.026.518,36 ; € -   ; € -   ;-1026518,36;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0640-00;Elektriciteitsvoorziening;O;7500000;Opbrengsten uit financiÃ«le vaste activa;IE-GEEN; € 212.600,00 ; € 216.579,78 ; € 15.318,64 ; € 197.281,36 ;-201261,14;-92,93 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0640-00;Elektriciteitsvoorziening;O;7599999;Andere financiÃ«le opbrengsten;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0650-00;Gasvoorziening;O;2810000;Belang. in intergem. samenwerk. en soortg. ent. - AW;IE6; € -   ; € 275.222,24 ; € -   ; € -   ;-275222,24;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0650-00;Gasvoorziening;O;7500000;Opbrengsten uit financiÃ«le vaste activa;IE-GEEN; € 64.600,00 ; € 63.895,29 ; € 4.867,06 ; € 59.732,94 ;-59028,23;-92,38 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0650-00;Gasvoorziening;O;7599999;Andere financiÃ«le opbrengsten;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0680-00;Groene ruimte;O;7402020;Subsidies sociale maribel;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0680-00;Groene ruimte;O;7405999;Overige werkingstoelage aangaande personeelsaangelegenheden;IE-GEEN; € -   ; € 472,31 ; € -   ; € -   ;-472,31;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0680-00;Groene ruimte;O;7470000;Werknemersinhouding maaltijdcheques;IE-GEEN; € 2.100,00 ; € 2.265,02 ; € 1.291,65 ; € 808,35 ;-973,37;-42,97 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0690-00;Overige nutsvoorzieningen;O;7040999;Andere terugvorderingen en tussenkomsten;IE-GEEN; € 26.091,51 ; € 26.091,51 ; € -   ; € 26.091,51 ;-26091,51;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0701-00;Cultuurcentrum;O;1780001;Lopende waarborgen zaalverhuur vanaf 2016;IE-GEEN; € -   ; € -   ; € 300,00 ; € -300,00 ;300;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0701-00;Cultuurcentrum;O;7000006;Verkoop van groene stroom;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0701-00;Cultuurcentrum;O;7000099;Opbrengsten uit andere verkopen;IE-GEEN; € -   ; € -   ; € 350,00 ; € -350,00 ;350;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0701-00;Cultuurcentrum;O;7040999;Andere terugvorderingen en tussenkomsten;IE-GEEN; € 600,00 ; € -818,45 ; € 1.178,80 ; € -578,80 ;1997,25;-244,03 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0701-00;Cultuurcentrum;O;7050001;Opbrengsten uit verhuur zalen en lokalen;IE-GEEN; € 49.500,00 ; € 49.080,00 ; € 24.596,00 ; € 24.904,00 ;-24484;-49,89 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0701-00;Cultuurcentrum;O;7404999;Overige algemene werkingssubsidies;IE-GEEN; € -   ; € 36.903,98 ; € -   ; € -   ;-36903,98;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0701-00;Cultuurcentrum;O;7405002;Personeelssubsidies algemeen;IE-GEEN; € -   ; € 124.270,25 ; € -   ; € -   ;-124270,25;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0701-00;Cultuurcentrum;O;7405999;Overige werkingstoelage aangaande personeelsaangelegenheden;IE-GEEN; € 3.532,45 ; € 381,82 ; € 3.368,31 ; € 164,14 ;2986,49;782,17 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0701-00;Cultuurcentrum;O;7409999;Overige specifieke werkingssubsidies;IE-GEEN; € -   ; € 9.321,31 ; € -   ; € -   ;-9321,31;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0701-00;Cultuurcentrum;O;7470000;Werknemersinhouding maaltijdcheques;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0703-00;Openbare bibliotheken;O;7000001;Verkoop van collecties;IE-GEEN; € 400,00 ; € 410,00 ; € 403,00 ; € -3,00 ;-7;-1,71 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0703-00;Openbare bibliotheken;O;7020999;Opbrengsten uit andere prestaties;IE-GEEN; € 23.000,00 ; € 24.781,07 ; € 13.055,69 ; € 9.944,31 ;-11725,38;-47,32 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0703-00;Openbare bibliotheken;O;7390001;Boetes;IE-GEEN; € -   ; € 90,00 ; € -   ; € -   ;-90;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0703-00;Openbare bibliotheken;O;7402020;Subsidies sociale maribel;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0703-00;Openbare bibliotheken;O;7404999;Overige algemene werkingssubsidies;IE-GEEN; € 1.580,00 ; € 1.505,30 ; € -   ; € 1.580,00 ;-1505,3;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0703-00;Openbare bibliotheken;O;7405002;Personeelssubsidies algemeen;IE-GEEN; € -   ; € 53.691,59 ; € -   ; € -   ;-53691,59;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0703-00;Openbare bibliotheken;O;7405999;Overige werkingstoelage aangaande personeelsaangelegenheden;IE-GEEN; € 1.004,81 ; € 357,61 ; € 1.071,45 ; € -66,64 ;713,84;199,61 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0703-00;Openbare bibliotheken;O;7406999;Overige specifieke projectsubsidies;IE-GEEN; € 1.000,00 ; € 921,61 ; € 850,00 ; € 150,00 ;-71,61;-7,77 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0703-00;Openbare bibliotheken;O;7470000;Werknemersinhouding maaltijdcheques;IE-GEEN; € 750,00 ; € 773,90 ; € 497,04 ; € 252,96 ;-276,86;-35,77 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0709-00;Overige culturele instellingen;O;7000006;Verkoop van groene stroom;IE-GEEN; € 2.000,00 ; € -   ; € -   ; € 2.000,00 ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0709-00;Overige culturele instellingen;O;7000099;Opbrengsten uit andere verkopen;IE-GEEN; € -   ; € 25,50 ; € 21,00 ; € -21,00 ;-4,5;-17,65 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0709-00;Overige culturele instellingen;O;7060001;Opbrengsten uit concessies;IE-GEEN; € 30.500,00 ; € 29.429,10 ; € 14.761,74 ; € 15.738,26 ;-14667,36;-49,84 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0709-00;Overige culturele instellingen;O;7070000;Doorfacturatie - nutsvoorzieningen;IE-GEEN; € 6.900,00 ; € 3.078,39 ; € 3.937,00 ; € 2.963,00 ;858,61;27,89 %;; € -1.500,00 ; € 5.400,00 ;rekening 2015 en svz 2016;idem
GBB-CBS;Gelijkblijvend beleid CBS;0710-00;Feesten en plechtigheden;O;7000099;Opbrengsten uit andere verkopen;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0710-00;Feesten en plechtigheden;O;7450000;Recuperaties van kosten;IE-GEEN; € -   ; € 67,15 ; € -   ; € -   ;-67,15;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0720-00;Monumentenzorg;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6; € 722,15 ; € 4.877,85 ; € -   ; € 722,15 ;-4877,85;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0740-00;Sport;O;4943000;Vorderingen wegens toegestane leningen die binnen het jaar vervallen;IE-GEEN; € 18.282,44 ; € 18.282,44 ; € -   ; € 18.282,44 ;-18282,44;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0740-00;Sport;O;7010002;Inschrijvingsgelden;IE-GEEN; € 55.000,00 ; € 48.717,30 ; € 28.262,70 ; € 26.737,30 ;-20454,6;-41,99 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0740-00;Sport;O;7040999;Andere terugvorderingen en tussenkomsten;IE-GEEN; € 5.046,50 ; € -   ; € -   ; € 5.046,50 ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0740-00;Sport;O;7050001;Opbrengsten uit verhuur zalen en lokalen;IE-GEEN; € 29.700,00 ; € 35.066,00 ; € 3.769,50 ; € 25.930,50 ;-31296,5;-89,25 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0740-00;Sport;O;7060999;Andere opbrengsten uit concessie en verleende rechten;IE-GEEN; € 207.619,98 ; € 201.619,80 ; € 100.809,90 ; € 106.810,08 ;-100809,9;-50,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0740-00;Sport;O;7404999;Overige algemene werkingssubsidies;IE-GEEN; € -   ; € 22.064,40 ; € -   ; € -   ;-22064,4;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0740-00;Sport;O;7405999;Overige werkingstoelage aangaande personeelsaangelegenheden;IE-GEEN; € 2.115,28 ; € 254,54 ; € 2.245,54 ; € -130,26 ;1991;782,20 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0740-00;Sport;O;7406999;Overige specifieke projectsubsidies;IE-GEEN; € 7.569,75 ; € -   ; € -   ; € 7.569,75 ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0740-00;Sport;O;7470000;Werknemersinhouding maaltijdcheques;IE-GEEN; € 1.100,00 ; € 1.128,15 ; € 705,23 ; € 394,77 ;-422,92;-37,49 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0740-00;Sport;O;7590000;Intresten op toegestane leningen;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0750-00;Jeugd;O;7010002;Inschrijvingsgelden;IE-GEEN; € 14.000,00 ; € 10.699,21 ; € 7.504,00 ; € 6.496,00 ;-3195,21;-29,86 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0750-00;Jeugd;O;7040999;Andere terugvorderingen en tussenkomsten;IE-GEEN; € -   ; € 2.734,60 ; € -   ; € -   ;-2734,6;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0750-00;Jeugd;O;7050001;Opbrengsten uit verhuur zalen en lokalen;IE-GEEN; € 1.750,00 ; € -   ; € -   ; € 1.750,00 ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0750-00;Jeugd;O;7050002;Opbrengsten uit verhuur woningen en flats;IE-GEEN; € -   ; € 1.000,00 ; € -   ; € -   ;-1000;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0750-00;Jeugd;O;7402020;Subsidies sociale maribel;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0750-00;Jeugd;O;7404999;Overige algemene werkingssubsidies;IE-GEEN; € -   ; € 16.639,19 ; € -   ; € -   ;-16639,19;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0750-00;Jeugd;O;7405999;Overige werkingstoelage aangaande personeelsaangelegenheden;IE-GEEN; € 353,54 ; € 508,67 ; € 320,79 ; € 32,75 ;-187,88;-36,94 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0750-00;Jeugd;O;7470000;Werknemersinhouding maaltijdcheques;IE-GEEN; € 200,00 ; € 236,53 ; € 129,71 ; € 70,29 ;-106,82;-45,16 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0790-00;Erediensten;O;7479999;Overige diverse operationele kosten;IE-GEEN; € -   ; € 530,39 ; € -   ; € -   ;-530,39;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0800-00;Gewoon basisonderwijs;O;7040002;Tussenkomsten van ouders in de maaltijden;IE-GEEN; € 25.000,00 ; € 28.751,01 ; € 14.790,48 ; € 10.209,52 ;-13960,53;-48,56 %;; € 3.000,00 ; € 28.000,00 ;vaststelling rekening 2015;idem
GBB-CBS;Gelijkblijvend beleid CBS;0800-00;Gewoon basisonderwijs;O;7040003;Tussenkomsten van ouders in het toezicht en de bijlessen;IE-GEEN; € 25.000,00 ; € 25.617,00 ; € 28.259,50 ; € -3.259,50 ;2642,5;10,32 %;; € 3.259,50 ; € 28.259,50 ;bijdragen ouders opvang;
GBB-CBS;Gelijkblijvend beleid CBS;0800-00;Gewoon basisonderwijs;O;7406999;Overige specifieke projectsubsidies;IE-GEEN; € 1.000,00 ; € 1.004,00 ; € 306,58 ; € 693,42 ;-697,42;-69,46 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0800-00;Gewoon basisonderwijs;O;7470000;Werknemersinhouding maaltijdcheques;IE-GEEN; € 300,00 ; € 132,98 ; € 91,56 ; € 208,44 ;-41,42;-31,15 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0800-01;Kleuteronderwijs;O;7000006;Verkoop van groene stroom;IE-GEEN; € 2.000,00 ; € -   ; € -   ; € 2.000,00 ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0800-01;Kleuteronderwijs;O;7404999;Overige algemene werkingssubsidies;IE-GEEN; € 72.000,00 ; € 69.815,79 ; € 63.659,55 ; € 8.340,45 ;-6156,24;-8,82 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0800-01;Kleuteronderwijs;O;7405004;Bijdragen van de overheid voor de bezoldiging van het onderwijzend personeel;IE-GEEN; € 491.231,62 ; € 540.235,15 ; € -   ; € 491.231,62 ;-540235,15;-100,00 %;; € 58.768,38 ; € 550.000,00 ;Verhoging vastgesteld bij rekening 2015 - zowel in als uit;idem
GBB-CBS;Gelijkblijvend beleid CBS;0800-02;Lager onderwijs;O;7000006;Verkoop van groene stroom;IE-GEEN; € 5.000,00 ; € -   ; € -   ; € 5.000,00 ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0800-02;Lager onderwijs;O;7404999;Overige algemene werkingssubsidies;IE-GEEN; € 166.748,82 ; € 157.855,20 ; € 158.175,90 ; € 8.572,92 ;320,7;0,20 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0800-02;Lager onderwijs;O;7405004;Bijdragen van de overheid voor de bezoldiging van het onderwijzend personeel;IE-GEEN; € 831.075,45 ; € 851.939,35 ; € -   ; € 831.075,45 ;-851939,35;-100,00 %;; € 38.924,55 ; € 870.000,00 ;Verhoging vastgesteld bij rekening 2015 - zowel in als uit;idem
GBB-CBS;Gelijkblijvend beleid CBS;0870-00;Ochtend- en avondtoezicht;O;7470000;Werknemersinhouding maaltijdcheques;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0909-00;Overige verrichtingen inzake sociaal beleid;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0990-00;Begraafplaatsen;O;7000099;Opbrengsten uit andere verkopen;IE-GEEN; € 1.000,00 ; € -   ; € -   ; € 1.000,00 ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0990-00;Begraafplaatsen;O;7040999;Andere terugvorderingen en tussenkomsten;IE-GEEN; € 100,00 ; € 110,28 ; € 73,52 ; € 26,48 ;-36,76;-33,33 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0990-00;Begraafplaatsen;O;7060001;Opbrengsten uit concessies;IE-GEEN; € 15.000,00 ; € 28.310,00 ; € 6.775,00 ; € 8.225,00 ;-21535;-76,07 %;;;;;
5.1.1.3;Stapsgewijs uitbreiden van het aanbod aan smartboards in de klassen;0800-02;Lager onderwijs;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6; € -   ;;;;;;; € 12.500,00 ; € 12.500,00 ;aankoop 2 smartboards 3de leerjaar door ouderraad;elk jaar 1 bord gefinancierd door ouderraad
GBB-CBS;Gelijkblijvend beleid CBS;0010-00;Algemene overdrachten tussen de verschillende bestuurlijke niveaus;O;7404999;Bijdrage gesubsidieerde contractuelen;IE-GEEN; € -   ;;;;;;; € 357.129,98 ; € 357.129,98 ;Wijziging AR : 7404999 ipv 7405001;idem
