Code;Actie;Actie omschrijving;Beleidsitem code;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Omschrijving budgetboekjaar;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;totaal per project;;;;;;;;
BP2014_2023-5./GBB-CBS/0680-00/2300000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0680-00;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;Overdracht krediet van 2017 naar 2018;;898.2;;;2500;17400;6500;6500;6500;6500;;46798.2;;;;;;;;
BP2014_2023-5./GBB-CBS/0680-00/2430000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0680-00;2430000;Rollend materieel - gemeenschapsgoederen;IE6;vervanging auto Fiat Ducato LAK-202;;;;;17324.3;51000;;;150000;;;218324.3;;;;;;;;
BP2014_2023-5./GBB-CBS/0701-00/2210500/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0701-00;2210500;Gebouwen - culturele gebouwen - gemeenschapsgoederen;IE6;Gebouwen - culturele gebouwen - gemeenschapsgoederen;;15317.47;;;190000;286000;0;500000;50000;;;1041317.47;;186071.51;;;;;;
BP2014_2023-5./GBB-CBS/0701-00/2400000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0701-00;2400000;Meubilair - gemeenschapsgoederen;IE6;Overdracht krediet van 2017 naar 2018;;;2128.67;;8037.44;18500;25000;16000;0;;;69666.11;;;;;;;;
BP2014_2023-5./GBB-CBS/0701-00/2410000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0701-00;2410000;Informaticamaterieel - gemeenschapsgoederen;IE6;Overdracht krediet van 2015 naar 2016;4126.12;21768.82;;;23934.54;;;;;;;49829.479999999996;;;;;;;;
BP2014_2023-5./GBB-CBS/0703-00/2400000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0703-00;2400000;Meubilair - gemeenschapsgoederen;IE6;Meubilair - gemeenschapsgoederen;5100.21;384.78;;;;2500;;;;;;7984.99;;;;;;;;
BP2014_2023-5./GBB-CBS/0703-00/2410000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0703-00;2410000;Informaticamaterieel - gemeenschapsgoederen;IE6;Overdracht krediet van 2015 naar 2016;369;;1344.79;;4000;;;;;;;5713.79;;;;;;;;
BP2014_2023-5./GBB-CBS/0709-00/2210500/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0709-00;2210500;Gebouwen - culturele gebouwen - gemeenschapsgoederen;IE6;Gebouwen - culturele gebouwen - gemeenschapsgoederen;807.07;;;;0;;;;0;0;;807.07;;;;;;;;
BP2014_2023-5./GBB-CBS/0709-00/2300000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0709-00;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;Overdracht krediet van 2015 naar 2016;;;;2325.62;8574.4699999999993;;;;;;;10900.09;;;;;;;;
BP2014_2023-5./GBB-CBS/0709-00/2410000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0709-00;2410000;Informaticamaterieel - gemeenschapsgoederen;IE6;Informaticamaterieel - gemeenschapsgoederen;;;;;0;3000;;;;;;3000;;;;;;;;
BP2014_2023-5./GBB-CBS/0729-00/2210800/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0729-00;2210800;Gebouwen - andere gebouwen - gemeenschapsgoederen;IE6;Gebouwen - andere gebouwen - gemeenschapsgoederen;;;;;0;40000;14000;250000;;;;304000;;;;;;;;
BP2014_2023-5./GBB-CBS/0729-00/6640000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0729-00;6640000;Toegestane investeringssubsidies;IE6;Toegestane investeringssubsidies;81136.100000000006;;;102287.15;;;;;;;;183423.25;;;;;;;;
BP2014_2023-5./GBB-CBS/0740-00/2200500/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0740-00;2200500;Onbebouwde terreinen - sport- en speelpleinen - gemeenschapsgoederen;IE6;Onbebouwde terreinen - sport- en speelpleinen - gemeenschapsgoederen;;;135451.07;;0;65000;;;;;;200451.07;;;;;;;;
BP2014_2023-5./GBB-CBS/0740-00/2210400/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0740-00;2210400;Gebouwen - sportgebouwen en jeugdgebouwen - gemeenschapsgoederen;IE6;Gebouwen - sportgebouwen en jeugdgebouwen - gemeenschapsgoederen;;;;;0;53300;385000;0;;;;438300;;;;;;;;
BP2014_2023-5./GBB-CBS/0740-00/2300000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0740-00;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;Installaties, machines en uitrusting - gemeenschapsgoederen;;;;;0;7000;6000;;;;;13000;;;;;;;;
BP2014_2023-5./GBB-CBS/0740-00/2400000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0740-00;2400000;Meubilair - gemeenschapsgoederen;IE6;aankoop lockers/vervangen judomatten;;;;;6152.41;;4000;;;;;10152.41;;;;;;;;
BP2014_2023-5./GBB-CBS/0740-00/2430000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0740-00;2430000;Rollend materieel - gemeenschapsgoederen;IE6;Rollend materieel - gemeenschapsgoederen;;;6065.73;;;;;;;;;6065.73;;;;;;;;
BP2014_2023-5./GBB-CBS/0740-00/2500000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0740-00;2500000;Terreinen en gebouwen in leasing of via soortg recht - gemeenschapsgoederen;IE6;Terreinen en gebouwen in leasing of via soortg recht - gemeenschapsgoederen;;;366346.53;;;;;;;;;366346.53;;;;;;;;
BP2014_2023-5./GBB-CBS/0750-00/2300000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0750-00;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;Installaties, machines en uitrusting - gemeenschapsgoederen;;;1333.42;;;;;;;;;1333.42;;;;;;;;
BP2014_2023-5./GBB-CBS/0750-00/6640000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0750-00;6640000;Toegestane investeringssubsidies;IE6;Investeringstoelage Speelplein/toestellen Ave Regina;;;;;0;10000;;;;;;10000;;;;;;;;
BP2014_2023-5./GBB-CBS/0800-00/2410000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0800-00;2410000;Informaticamaterieel - gemeenschapsgoederen;IE6;Informaticamaterieel - gemeenschapsgoederen;;;;;103000;6500;;;;;;109500;;;;;;;;
BP2014_2023-5./GBB-CBS/0800-00/2430000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0800-00;2430000;Rollend materieel - gemeenschapsgoederen;IE6;Rollend materieel - gemeenschapsgoederen;;;;;0;210000;;0;;;;210000;;;;;;;;
BP2014_2023-5./GBB-CBS/0800-01/2250000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0800-01;2250000;Overige infrastructuur betreffende de wegen;IE6;Dr Mobi kleuterscholen;;;;;8000;;;;;;;8000;;;;;;;;
BP2014_2023-5./GBB-CBS/0800-01/2300000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0800-01;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;Overdracht krediet van 2017 naar 2018;;;;2853.81;180.2;;;;;;ok;3034.0099999999998;;;;;;;;
BP2014_2023-5./GBB-CBS/0800-02/2250000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0800-02;2250000;Overige infrastructuur betreffende de wegen;IE6;Dr Mobi lagere school;;;;;4500;;;;;;;4500;;;;;;;;
BP2014_2023-5./GBB-CBS/0800-02/2410000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0800-02;2410000;Informaticamaterieel - gemeenschapsgoederen;IE6;Overdracht krediet van 2015 naar 2016;;;;0;36500;46000;;;;;;82500;;;;;;;;
BP2014_2023-5./GBB-CBS/0872-00/2300000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0872-00;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;Piano muziekacademie De Vonk in Bierbeek;;;;;2690;;;;;;;2690;;;;;;;;
BP2014_2023-5./GBB-CBS/0900-00/2140000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0900-00;2140000;Plannen en studies;IE6;Plannen en studies;;;;;0;3000;;;;;;3000;;;;;;;;
BP2014_2023-5./GBB-CBS/0900-00/2210107/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0900-00;2210107;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;IE6;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;;;;;0;25000;;;;;;25000;;;;;;;;
BP2014_2023-5./GBB-CBS/0990-00/2300000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0990-00;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;Installaties, machines en uitrusting - gemeenschapsgoederen;;7937.9;;;12500;;8000;;8000;;;36437.9;;;;;;;;
BP2014_2023-5./GBB-CBS/0990-00/2751000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0990-00;2751000;Kunstwerken;IE6;Kunstwerken;;;;;0;9000;;;;;;9000;;;;;;;;
BP2014_2023-5./3.4.1.1/0119-00/2210107/BESTUUR/CBS/IE6/U;3.4.1.1;Vervullen van een voorbeeldrol op vlak van energiebesparing;0119-00;2210107;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;IE6;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;;134200.81;;;;;;;;;;;;;;;;;;
BP2014_2023-5./3.4.3.1/0309-00/2350000/BESTUUR/CBS/IE6/U;3.4.3.1;Optimaliseren van het gemeentelijk containerpark en de groencompostering in eigen beheer;0309-00;2350000;Installaties, machines en uitrusting - bedrijfsmatige MVA;IE6;;19056.29;;;;;;;;;;;;;;;;;;;
BP2014_2023-5./3.4.3.3/0200-00/2300000/BESTUUR/CBS/IE6/U;3.4.3.3;Reduceren van bestrijdingsmiddelen;0200-00;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;;26317.5;;;;;;;;;;;;;;;;;;;
BP2014_2023-5./4.1.2.1/0709-00/2420000/BESTUUR/CBS/IE5/U;4.1.2.1;Uitbreiden en onderhouden van de vrijetijdsinfrastructuur;0709-00;2420000;Kantooruitrusting - gemeenschapsgoederen;IE5;Kantooruitrusting - gemeenschapsgoederen;;6433.7;;;;;;;;;;;;;;;;;;
BP2014_2023-5./4.2.1.4/0701-00/6640000/BESTUUR/CBS/IE6/U;4.2.1.4;Voorzien van een subsidie van de socio-culturele verenigingen;0701-00;6640000;Toegestane investeringssubsidies;IE6;Toegestane investeringssubsidies;;2000;;;;;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0119-00/2210800/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;2210800;Gebouwen - andere gebouwen - gemeenschapsgoederen;IE6;plaatsen verwarming stockagelokalen loods;484;;;;;;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0200-00/2240007/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0200-00;2240007;Wegen - Activa in aanbouw;IE6;Wegen - Activa in aanbouw;565194.43000000005;31781.73;;;;;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0309-00/2300000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;Installaties, machines en uitrusting - gemeenschapsgoederen;;2538.58;;;;;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0310-00/2100007/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0310-00;2100007;Kosten van onderzoek en ontwikkeling - Activa in aanbouw;IE6;;27538.799999999999;;;;;;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0310-00/2280007/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0310-00;2280007;Riolering - Activa in aanbouw;IE6;;17515.89;;;;;;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0640-00/2811000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0640-00;2811000;Belang. in intergem. samenwerk. en soortg. ent. - te storten (-);IE6;Belang. in intergem. samenwerk. en soortg. ent. - te storten (-);1026518.36;237852.57;;;;;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0650-00/2811000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0650-00;2811000;Belang. in intergem. samenwerk. en soortg. ent. - te storten (-);IE6;;275222.24;;;;;;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0740-00/6640000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0740-00;6640000;Toegestane investeringssubsidies;IE6;Toegestane investeringssubsidies;;1200;;;;;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0800-00/2140007/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0800-00;2140007;Plannen en studies - Activa in aanbouw;IE6;;3740.87;;;;;;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0800-00/2400000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0800-00;2400000;Meubilair - gemeenschapsgoederen;IE6;Meubilair - gemeenschapsgoederen;384.78;769.56;;;;;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0701-00/2300000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0701-00;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;Installaties, machines en uitrusting - gemeenschapsgoederen;;;;;;4500;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0200-00/2420000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0200-00;2420000;Kantooruitrusting - gemeenschapsgoederen;IE6;;;;;;;2000;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0701-00/2751000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0701-00;2751000;Kunstwerken;IE6;;;;;;9000;;;;;;;;;;;;;;;
BP2014_2023-5./3.3.1.8/0680-00/2250000/BESTUUR/CBS/IE6/U;3.3.1.8;Inrichten en aanleggen van het binnengebied in Opvelp;0680-00;2250000;Overige infrastructuur betreffende de wegen;IE6;Aankoop straatmeubilair binnengebied Opvelp;;;;;;4500;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0300-00/2811000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0300-00;2811000;Belang. in intergem. samenwerk. en soortg. ent. - te storten (-);IE6;bijdrage werkingskosten ecowerf - omgezet naar kapitaal;;;;;5011.5;5011.5;5011.5;5011.5;5011.5;5011.5;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0729-00/2410000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0729-00;2410000;Informaticamaterieel - gemeenschapsgoederen;IE6;;;;;;;1300;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0800-01/2410000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0800-01;2410000;Informaticamaterieel - gemeenschapsgoederen;IE6;;;;;;1500;9500;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0729-00/2140007/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0729-00;2140007;Plannen en studies - Activa in aanbouw;IE6;sk bremtkapel;;;;;;25000;;;;;;;;;;;;;;
BP2014_2023-5./4.1.2.1/0701-00/2140007/BESTUUR/CBS/IE5/U;4.1.2.1;Uitbreiden en onderhouden van de vrijetijdsinfrastructuur;0701-00;2140007;Plannen en studies - Activa in aanbouw;IE5;;;;;;;;;20000;;;;;;;;;;;;
BP2014_2023-5./4.3.3.1/0720-03/2210700/BESTUUR/CBS/IE6/U;4.3.3.1;Restaureren en renoveren van de pastorie van Bierbeek;0720-03;2210700;Gebouwen - erediensten - gemeenschapsgoederen;IE6;;;;;;;65000;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0119-0/2300000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;;;;;;;8000;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0729-00/2400000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0729-00;2400000;Meubilair - gemeenschapsgoederen;IE6;;;;;;;;;25000;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0500-00/2200900/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0500-00;2200900;Onbebouwde terreinen - andere terreinen - gemeenschapsgoederen - parkings;IE6;parking Tiensesteenweg;;;;;;200000;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0610-00/2140000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0610-00;2140000;Plannen en studies;IE6;RUP Eikenbemde;;;;;;10000;10000;;;;;;;;;;;;;
BP2014_2023-5./3.3.1.8/0680-00/2250000/BESTUUR/CBS/IE6/U;3.3.1.8;Inrichten en aanleggen van het binnengebied in Opvelp;0680-00;2250000;Overige infrastructuur betreffende de wegen;IE6;picnicbank in Robinia hout Binnengebied Opvelp;;;;;;4500;;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0600-00/2140000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0600-00;2140000;Plannen en studies;IE6;Bouwmeesterscan;;;;;;48000;;;;;;;;;;;;;;
;;;;;;;TOTAAL per jaar:;3707206.9;4872710.58;3348749.1399999987;3107777.7000000016;3029452.1616666671;8872393.5040000007;10193602.433999998;2778367.6500000004;1932431.4;987496.59785110725;;;;;;;;;;
;;;;;;;Totalen vorige MJPA (behalve voor budget 2018 : incl. Overdrachten nav rekening 2017):;;;;;9712488.0702999998;8747121.6830000021;3136485.1;1569209.82;1541207.4092000001;0;;;;;;;;;;
;;;;;;;Meeruitgaven per jaar tov vorig MJPA;;;;;-6683035.9086333327;125271.8209999986;7057117.3339999989;1209157.8300000003;391223.9907999998;987496.59785110725;;;;;;;;;;
;;;;;;;;;;;;3077421.84;8957393.4000000004;;;;;;;;;;;;;;
;;;;;;;;;;;;47969.678333332762;84999.895999999717;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;150000;;;;;;;;;;;
;;;;;;;studieopdr. Sint Hilariuskerk gevels;;;;;;;;;;;;;;;;;;;;
;;;;;;;--> pas na 2022;;;;;;;;;;;;;;;;;;;;
